fighter,sig_str_landed,total_str_landed,td_landed,head_landed,body_landed,leg_landed,distance_landed,clinch_landed,ground_landed,sig_str_attempts,total_str_attempts,td_attempts,kd,sub_att,rev,ctrl_seconds,sig_str_acc,td_acc
Genaro Valdez,41.0,45.666666666666664,0.0,28.666666666666668,4.666666666666667,7.666666666666667,36.666666666666664,3.3333333333333335,1.0,144.0,149.33333333333334,0.3333333333333333,0.3333333333333333,0.0,0.0,3.6666666666666665,0.2814903058977631,0.0
Genki Sudo,13.0,26.333333333333332,2.0,7.0,2.6666666666666665,3.3333333333333335,4.666666666666667,2.0,6.333333333333333,33.333333333333336,48.333333333333336,3.3333333333333335,0.0,2.3333333333333335,0.0,210.0,0.4804324028461959,0.7222222222222222
Geoff Neal,52.61538461538461,57.46153846153846,0.38461538461538464,44.92307692307692,4.384615384615385,3.3076923076923075,43.30769230769231,5.538461538461538,3.769230769230769,103.38461538461539,108.61538461538461,0.8461538461538461,0.6153846153846154,0.07692307692307693,0.0,91.92307692307692,0.5297443112505317,0.4666666666666667
George Roop,36.23076923076923,71.84615384615384,0.6153846153846154,22.615384615384617,9.153846153846153,4.461538461538462,20.692307692307693,6.769230769230769,8.76923076923077,93.61538461538461,132.07692307692307,1.2307692307692308,0.15384615384615385,0.07692307692307693,0.07692307692307693,164.30769230769232,0.36968734188392116,0.4895833333333333
George Sotiropoulos,25.545454545454547,43.54545454545455,1.5454545454545454,20.363636363636363,3.272727272727273,1.9090909090909092,19.727272727272727,1.0909090909090908,4.7272727272727275,95.45454545454545,116.27272727272727,4.909090909090909,0.09090909090909091,1.0909090909090908,0.18181818181818182,174.0,0.3259334633092478,0.45543530543530547
George Sullivan,33.142857142857146,57.714285714285715,0.8571428571428571,19.0,7.571428571428571,6.571428571428571,18.714285714285715,4.571428571428571,9.857142857142858,83.28571428571429,110.14285714285714,4.142857142857143,0.0,0.42857142857142855,0.14285714285714285,163.14285714285714,0.46801721006594144,0.3619047619047619
Georges St-Pierre,59.68181818181818,117.77272727272727,4.090909090909091,38.63636363636363,11.136363636363637,9.909090909090908,34.31818181818182,4.409090909090909,20.954545454545453,112.27272727272727,174.36363636363637,5.545454545454546,0.4090909090909091,1.0909090909090908,0.22727272727272727,441.90909090909093,0.5618274019560563,0.7309613997113996
Gerald Harris,14.0,17.5,2.0,12.75,1.0,0.25,9.5,1.25,3.25,54.0,58.25,3.5,0.5,0.0,0.25,121.75,0.2800341324931489,0.5952380952380952
Gerald Meerschaert,25.833333333333332,35.666666666666664,1.0416666666666667,18.916666666666668,4.416666666666667,2.5,20.666666666666668,2.7916666666666665,2.375,57.041666666666664,68.875,3.4166666666666665,0.125,0.7916666666666666,0.375,112.5,0.45988649245186813,0.3138347763347763
Gerald Strebendt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
