fighter,sig_str_landed,total_str_landed,td_landed,head_landed,body_landed,leg_landed,distance_landed,clinch_landed,ground_landed,sig_str_attempts,total_str_attempts,td_attempts,kd,sub_att,rev,ctrl_seconds,sig_str_acc,td_acc
Tallison Teixeira,5.5,6.0,0.0,4.0,1.5,0.0,2.0,1.5,2.0,7.0,7.5,0.5,0.5,0.0,0.0,5.5,0.7444444444444445,0.0
Tamdan McCrory,16.0,33.0,1.0,12.4,2.0,1.6,5.2,1.2,9.6,36.0,54.8,2.2,0.0,0.4,0.6,165.4,0.42754885256936126,0.611111111111111
Tamires Vidal,31.5,50.75,0.0,11.25,5.25,15.0,28.0,3.5,0.0,59.0,80.5,1.25,0.25,0.5,0.0,79.5,0.5366651536617013,0.0
Tanner Boser,53.0,86.0,0.0,33.0,11.6,8.4,42.0,7.8,3.2,104.6,142.8,0.0,0.2,0.0,0.2,88.6,0.45933494631421834,0.0
Tarec Saffiedine,48.0,57.2,0.6,27.2,9.8,11.0,37.6,10.4,0.0,116.4,126.0,1.8,0.0,0.0,0.0,80.6,0.41972685334379617,0.3333333333333333
Tateki Matsuda,48.0,66.0,0.0,31.5,5.0,11.5,42.5,4.0,1.5,139.0,159.5,1.0,0.0,0.0,0.5,58.0,0.34935534336731944,0.0
Tatiana Suarez,28.0,58.0,2.6,6.8,11.8,9.4,15.4,7.4,5.2,55.8,89.2,9.8,0.0,0.4,0.0,382.6,0.5225882769142326,0.3915384615384615
Tatsuro Taira,34.8,60.2,2.8,27.0,2.0,5.8,20.6,0.6,13.6,59.4,89.8,5.0,0.4,0.6,0.2,374.2,0.6159592345638857,0.7166666666666667
Tatsuya Kawajiri,20.8,51.6,3.0,15.4,2.6,2.8,12.6,2.0,6.2,51.0,84.4,9.2,0.0,0.2,0.4,453.8,0.47255098455785094,0.32571428571428573
Taylor Lapilus,76.2,83.6,0.0,51.0,18.0,7.2,62.4,12.0,1.8,156.8,165.2,0.2,0.0,0.0,0.0,22.8,0.4795707779437387,0.0
Te Edwards,14.0,15.0,0.5,10.0,2.0,2.0,10.0,2.0,2.0,35.5,36.5,0.5,0.5,0.0,0.0,373.5,0.37202380952380953,1.0
Tecia Pennington,71.4,83.0,0.2,32.0,12.2,27.2,66.8,4.4,0.2,149.0,163.2,1.6,0.0,0.0,0.0,50.8,0.4943192709837475,0.125
Tedd Williams,17.0,29.5,0.5,7.0,10.0,0.0,1.5,4.5,11.0,24.0,36.5,5.0,0.5,0.0,0.0,238.0,0.6678765880217785,0.1
Teemu Packalen,12.5,14.0,0.75,9.25,3.0,0.25,8.5,1.25,2.75,23.0,25.25,3.0,0.25,0.5,0.0,51.0,0.6350694172091929,0.13636363636363635
Tereza Bleda,37.5,103.0,2.0,23.0,9.5,5.0,15.0,6.0,16.5,73.0,145.0,8.5,0.0,1.0,0.0,473.5,0.47936814958091556,0.22142857142857142
Terrance McKinney,20.8,23.8,0.2,18.8,2.0,0.0,5.4,2.8,12.6,31.4,35.6,0.6,0.2,0.6,0.2,25.0,0.5730702024874088,0.5
Terrence Mitchell,4.5,6.0,0.5,4.0,0.5,0.0,3.0,1.0,0.5,13.0,15.0,1.0,0.0,0.0,0.0,33.0,0.3721804511278195,0.5
Terrion Ware,60.25,76.0,0.5,41.25,11.75,7.25,52.5,4.0,3.75,185.25,204.75,2.25,0.0,0.0,0.0,43.5,0.3134846438082428,0.1111111111111111
Terry Etim,13.6,14.6,0.4,6.2,1.6,5.8,12.0,1.6,0.0,50.0,51.2,1.2,0.0,0.6,0.0,29.0,0.3877750828684615,0.3333333333333333
Terry Martin,24.2,38.0,1.4,11.6,7.8,4.8,6.6,14.4,3.2,47.8,61.8,4.2,0.2,0.0,0.0,203.6,0.5895701357466063,0.34375
Teruto Ishihara,23.8,31.0,0.6,11.8,4.0,8.0,15.6,3.4,4.8,59.4,67.0,2.4,0.6,0.0,0.0,83.6,0.43134195698429834,0.19444444444444442
Thaddeus Luster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Thales Leites,30.6,35.6,1.4,14.8,5.2,10.6,27.6,2.2,0.8,69.6,75.2,6.8,0.0,0.8,0.0,184.8,0.4603239897357545,0.25357142857142856
Themba Gorimbo,29.2,69.6,3.6,14.4,10.2,4.6,14.4,8.8,6.0,47.8,97.2,5.0,0.2,0.4,0.4,302.2,0.6260065830931973,0.5694444444444444
Thiago Alves,48.6,51.2,0.4,20.2,7.6,20.8,44.6,4.0,0.0,117.8,120.4,1.0,0.0,0.0,0.0,32.8,0.4281386785322095,0.4444444444444444
