event,fighter_name,opponent_name,weightclass,method,round,time,time_format,details,outcome
UFC Fight Night: Blanchfield vs. Fiorot,Andre Petroski,Jacob Malkoun,Middleweight Bout,KO/TKO,2,0:39,3 Rnd (5-5-5),Kick to Body On GroundPetroski hit head on takedown attempt,Loss
UFC Fight Night: Blanchfield vs. Fiorot,Jacob Malkoun,Andre Petroski,Middleweight Bout,KO/TKO,2,0:39,3 Rnd (5-5-5),Kick to Body On GroundPetroski hit head on takedown attempt,Win
UFC Fight Night: Blanchfield vs. Fiorot,Angel Pacheco,Caolan Loughran,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Adrian Castro 27 - 30.Eric Colon 27 - 30.Dave Tirelli 27 - 30.,Loss
UFC Fight Night: Blanchfield vs. Fiorot,Caolan Loughran,Angel Pacheco,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Adrian Castro 27 - 30.Eric Colon 27 - 30.Dave Tirelli 27 - 30.,Win
UFC Fight Night: Ribas vs. Namajunas,Amanda Ribas,Rose Namajunas,Women's Flyweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Mike Bell 46 - 49.Junichiro Kamijo 46 - 49.Sal D'amato 47 - 48.,Loss
UFC Fight Night: Ribas vs. Namajunas,Rose Namajunas,Amanda Ribas,Women's Flyweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Mike Bell 46 - 49.Junichiro Kamijo 46 - 49.Sal D'amato 47 - 48.,Win
UFC Fight Night: Ribas vs. Namajunas,Karl Williams,Justin Tafa,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jacob Montalvo 27 - 30.Mike Bell 28 - 29.Chris Flores 28 - 29.,Win
UFC Fight Night: Ribas vs. Namajunas,Justin Tafa,Karl Williams,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jacob Montalvo 27 - 30.Mike Bell 28 - 29.Chris Flores 28 - 29.,Loss
UFC Fight Night: Ribas vs. Namajunas,Edmen Shahbazyan,AJ Dobson,Middleweight Bout,KO/TKO,1,4:33,3 Rnd (5-5-5),Punches to Head On Ground,Win
UFC Fight Night: Ribas vs. Namajunas,AJ Dobson,Edmen Shahbazyan,Middleweight Bout,KO/TKO,1,4:33,3 Rnd (5-5-5),Punches to Head On Ground,Loss
UFC Fight Night: Ribas vs. Namajunas,Payton Talbott,Cameron Saaiman,Bantamweight Bout,KO/TKO,2,0:21,3 Rnd (5-5-5),Punches to Head On Ground,Win
UFC Fight Night: Ribas vs. Namajunas,Cameron Saaiman,Payton Talbott,Bantamweight Bout,KO/TKO,2,0:21,3 Rnd (5-5-5),Punches to Head On Ground,Loss
UFC Fight Night: Ribas vs. Namajunas,Billy Quarantillo,Youssef Zalal,Featherweight Bout,Submission,2,1:50,3 Rnd (5-5-5),Rear Naked Choke,Loss
UFC Fight Night: Ribas vs. Namajunas,Youssef Zalal,Billy Quarantillo,Featherweight Bout,Submission,2,1:50,3 Rnd (5-5-5),Rear Naked Choke,Win
UFC Fight Night: Ribas vs. Namajunas,Fernando Padilla,Luis Pajuelo,Featherweight Bout,Submission,1,2:45,3 Rnd (5-5-5),D'Arce Choke Standing,Win
UFC Fight Night: Ribas vs. Namajunas,Luis Pajuelo,Fernando Padilla,Featherweight Bout,Submission,1,2:45,3 Rnd (5-5-5),D'Arce Choke Standing,Loss
UFC Fight Night: Ribas vs. Namajunas,Kurt Holobaugh,Trey Ogden,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Sal D'amato 27 - 30.Chris Leben 27 - 30.Jacob Montalvo 27 - 30.,Loss
UFC Fight Night: Ribas vs. Namajunas,Trey Ogden,Kurt Holobaugh,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Sal D'amato 27 - 30.Chris Leben 27 - 30.Jacob Montalvo 27 - 30.,Win
UFC Fight Night: Ribas vs. Namajunas,Ricardo Ramos,Julian Erosa,Featherweight Bout,Submission,1,2:15,3 Rnd (5-5-5),Guillotine Choke From Guard,Loss
UFC Fight Night: Ribas vs. Namajunas,Julian Erosa,Ricardo Ramos,Featherweight Bout,Submission,1,2:15,3 Rnd (5-5-5),Guillotine Choke From Guard,Win
UFC Fight Night: Ribas vs. Namajunas,Miles Johns,Cody Gibson,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Sal D'amato 27 - 30.Chris Flores 27 - 30.Chris Leben 27 - 30.,Win
UFC Fight Night: Ribas vs. Namajunas,Cody Gibson,Miles Johns,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Sal D'amato 27 - 30.Chris Flores 27 - 30.Chris Leben 27 - 30.,Loss
UFC Fight Night: Ribas vs. Namajunas,Jarno Errens,Steven Nguyen,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Bell 27 - 30.Chris Flores 27 - 30.Jacob Montalvo 27 - 30.,Win
UFC Fight Night: Ribas vs. Namajunas,Steven Nguyen,Jarno Errens,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Bell 27 - 30.Chris Flores 27 - 30.Jacob Montalvo 27 - 30.,Loss
UFC Fight Night: Ribas vs. Namajunas,Montse Rendon,Daria Zhelezniakova,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Bell 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,Loss
UFC Fight Night: Ribas vs. Namajunas,Daria Zhelezniakova,Montse Rendon,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Bell 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,Win
UFC Fight Night: Ribas vs. Namajunas,Igor Severino,Andre Lima,Flyweight Bout,DQ,2,2:52,3 Rnd (5-5-5),Biting by Severino,Loss
UFC Fight Night: Ribas vs. Namajunas,Andre Lima,Igor Severino,Flyweight Bout,DQ,2,2:52,3 Rnd (5-5-5),Biting by Severino,Win
UFC Fight Night: Ribas vs. Namajunas,Mohammed Usman,Mick Parkin,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Bell 28 - 29.Adalaide Byrd 28 - 29.Sal D'amato 28 - 29.,Loss
UFC Fight Night: Ribas vs. Namajunas,Mick Parkin,Mohammed Usman,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Bell 28 - 29.Adalaide Byrd 28 - 29.Sal D'amato 28 - 29.,Win
UFC Fight Night: Tuivasa vs. Tybura,Tai Tuivasa,Marcin Tybura,Heavyweight Bout,Submission,1,4:08,5 Rnd (5-5-5-5-5),Rear Naked Choke,Loss
UFC Fight Night: Tuivasa vs. Tybura,Marcin Tybura,Tai Tuivasa,Heavyweight Bout,Submission,1,4:08,5 Rnd (5-5-5-5-5),Rear Naked Choke,Win
UFC Fight Night: Tuivasa vs. Tybura,Bryan Battle,Ange Loosa,Welterweight Bout,Could Not Continue,2,1:00,3 Rnd (5-5-5),Eye Poke by Battle,No Contest
UFC Fight Night: Tuivasa vs. Tybura,Ange Loosa,Bryan Battle,Welterweight Bout,Could Not Continue,2,1:00,3 Rnd (5-5-5),Eye Poke by Battle,No Contest
UFC Fight Night: Tuivasa vs. Tybura,Ovince Saint Preux,Kennedy Nzechukwu,Light Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Adalaide Byrd 28 - 29.Derek Cleary 29 - 28.Junichiro Kamijo 28 - 29.,Win
UFC Fight Night: Tuivasa vs. Tybura,Kennedy Nzechukwu,Ovince Saint Preux,Light Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Adalaide Byrd 28 - 29.Derek Cleary 29 - 28.Junichiro Kamijo 28 - 29.,Loss
UFC Fight Night: Tuivasa vs. Tybura,Christian Rodriguez,Isaac Dulgarian,Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Sal D'amato 27 - 28.Anthony Maness 28 - 27.Ron McCarthy 27 - 28.,Win
UFC Fight Night: Tuivasa vs. Tybura,Isaac Dulgarian,Christian Rodriguez,Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Sal D'amato 27 - 28.Anthony Maness 28 - 27.Ron McCarthy 27 - 28.,Loss
UFC Fight Night: Tuivasa vs. Tybura,Pannie Kianzad,Macy Chiasson,Women's Bantamweight Bout,Submission,1,3:54,3 Rnd (5-5-5),Rear Naked Choke,Loss
UFC Fight Night: Tuivasa vs. Tybura,Macy Chiasson,Pannie Kianzad,Women's Bantamweight Bout,Submission,1,3:54,3 Rnd (5-5-5),Rear Naked Choke,Win
UFC Fight Night: Tuivasa vs. Tybura,Gerald Meerschaert,Bryan Barberena,Middleweight Bout,Submission,2,4:23,3 Rnd (5-5-5),Rear Naked Choke,Win
UFC Fight Night: Tuivasa vs. Tybura,Bryan Barberena,Gerald Meerschaert,Middleweight Bout,Submission,2,4:23,3 Rnd (5-5-5),Rear Naked Choke,Loss
UFC Fight Night: Tuivasa vs. Tybura,Natan Levy,Mike Davis,Lightweight Bout,Submission,2,1:43,3 Rnd (5-5-5),Arm Triangle From Mount,Loss
UFC Fight Night: Tuivasa vs. Tybura,Mike Davis,Natan Levy,Lightweight Bout,Submission,2,1:43,3 Rnd (5-5-5),Arm Triangle From Mount,Win
UFC Fight Night: Tuivasa vs. Tybura,Josiane Nunes,Chelsea Chandler,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Bell 28 - 29.Adalaide Byrd 28 - 29.Derek Cleary 28 - 29.,Loss
UFC Fight Night: Tuivasa vs. Tybura,Chelsea Chandler,Josiane Nunes,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Bell 28 - 29.Adalaide Byrd 28 - 29.Derek Cleary 28 - 29.,Win
UFC Fight Night: Tuivasa vs. Tybura,Jafel Filho,Ode Osbourne,Flyweight Bout,Submission,1,4:27,3 Rnd (5-5-5),Rear Naked Choke,Win
UFC Fight Night: Tuivasa vs. Tybura,Ode Osbourne,Jafel Filho,Flyweight Bout,Submission,1,4:27,3 Rnd (5-5-5),Rear Naked Choke,Loss
UFC Fight Night: Tuivasa vs. Tybura,Josh Culibao,Danny Silva,Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Derek Cleary 28 - 29.Sal D'amato 29 - 28.Ron McCarthy 28 - 29.,Loss
UFC Fight Night: Tuivasa vs. Tybura,Danny Silva,Josh Culibao,Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Derek Cleary 28 - 29.Sal D'amato 29 - 28.Ron McCarthy 28 - 29.,Win
UFC Fight Night: Tuivasa vs. Tybura,Jaqueline Amorim,Cory McKenna,Women's Strawweight Bout,Submission,1,1:38,3 Rnd (5-5-5),Armbar On Ground,Win
UFC Fight Night: Tuivasa vs. Tybura,Cory McKenna,Jaqueline Amorim,Women's Strawweight Bout,Submission,1,1:38,3 Rnd (5-5-5),Armbar On Ground,Loss
UFC Fight Night: Tuivasa vs. Tybura,Thiago Moises,Mitch Ramirez,Lightweight Bout,KO/TKO,3,0:15,3 Rnd (5-5-5),Kick to Leg At Distance,Win
UFC Fight Night: Tuivasa vs. Tybura,Mitch Ramirez,Thiago Moises,Lightweight Bout,KO/TKO,3,0:15,3 Rnd (5-5-5),Kick to Leg At Distance,Loss
UFC Fight Night: Tuivasa vs. Tybura,Charalampos Grigoriou,Chad Anheliger,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Adalaide Byrd 28 - 29.Jerin Valel 28 - 29.Derek Cleary 27 - 30.,Loss
UFC Fight Night: Tuivasa vs. Tybura,Chad Anheliger,Charalampos Grigoriou,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Adalaide Byrd 28 - 29.Jerin Valel 28 - 29.Derek Cleary 27 - 30.,Win
UFC 299: O'Malley vs. Vera 2,Sean O'Malley,Marlon Vera,UFC Bantamweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Eric Colon 45 - 50.Chris Lee 45 - 50.Sal D'amato 44 - 50.,Win
UFC 299: O'Malley vs. Vera 2,Marlon Vera,Sean O'Malley,UFC Bantamweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Eric Colon 45 - 50.Chris Lee 45 - 50.Sal D'amato 44 - 50.,Loss
UFC 299: O'Malley vs. Vera 2,Dustin Poirier,Benoit Saint Denis,Lightweight Bout,KO/TKO,2,2:32,5 Rnd (5-5-5-5-5),Punch to Head At Distance,Win
UFC 299: O'Malley vs. Vera 2,Benoit Saint Denis,Dustin Poirier,Lightweight Bout,KO/TKO,2,2:32,5 Rnd (5-5-5-5-5),Punch to Head At Distance,Loss
UFC 299: O'Malley vs. Vera 2,Kevin Holland,Michael Page,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Eric Colon 28 - 29.Dave Tirelli 28 - 29.Chris Lee 28 - 29.,Loss
UFC 299: O'Malley vs. Vera 2,Michael Page,Kevin Holland,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Eric Colon 28 - 29.Dave Tirelli 28 - 29.Chris Lee 28 - 29.,Win
UFC 299: O'Malley vs. Vera 2,Gilbert Burns,Jack Della Maddalena,Welterweight Bout,KO/TKO,3,3:43,3 Rnd (5-5-5),Elbows to Head On Ground,Loss
UFC 299: O'Malley vs. Vera 2,Jack Della Maddalena,Gilbert Burns,Welterweight Bout,KO/TKO,3,3:43,3 Rnd (5-5-5),Elbows to Head On Ground,Win
UFC 299: O'Malley vs. Vera 2,Petr Yan,Song Yadong,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dave Tirelli 28 - 29.MichaelTate 28 - 29.Chris Lee 28 - 29.,Win
UFC 299: O'Malley vs. Vera 2,Song Yadong,Petr Yan,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dave Tirelli 28 - 29.MichaelTate 28 - 29.Chris Lee 28 - 29.,Loss
UFC 299: O'Malley vs. Vera 2,Curtis Blaydes,Jailton Almeida,Heavyweight Bout,KO/TKO,2,0:36,3 Rnd (5-5-5),Punches to Head On Ground,Win
UFC 299: O'Malley vs. Vera 2,Jailton Almeida,Curtis Blaydes,Heavyweight Bout,KO/TKO,2,0:36,3 Rnd (5-5-5),Punches to Head On Ground,Loss
UFC 299: O'Malley vs. Vera 2,Katlyn Cerminara,Maycee Barber,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),MichaelTate 27 - 30.Sal D'amato 27 - 30.Chris Lee 28 - 29.,Loss
UFC 299: O'Malley vs. Vera 2,Maycee Barber,Katlyn Cerminara,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),MichaelTate 27 - 30.Sal D'amato 27 - 30.Chris Lee 28 - 29.,Win
UFC 299: O'Malley vs. Vera 2,Mateusz Gamrot,Rafael Dos Anjos,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Grenier 28 - 29.Chris Lee 28 - 29.Eric Colon 27 - 30.,Win
UFC 299: O'Malley vs. Vera 2,Rafael Dos Anjos,Mateusz Gamrot,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Grenier 28 - 29.Chris Lee 28 - 29.Eric Colon 27 - 30.,Loss
UFC 299: O'Malley vs. Vera 2,Pedro Munhoz,Kyler Phillips,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dave Tirelli 27 - 30.Sal D'amato 27 - 30.Eliseo Rodriguez 27 - 30.,Loss
UFC 299: O'Malley vs. Vera 2,Kyler Phillips,Pedro Munhoz,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dave Tirelli 27 - 30.Sal D'amato 27 - 30.Eliseo Rodriguez 27 - 30.,Win
UFC 299: O'Malley vs. Vera 2,Ion Cutelaba,Philipe Lins,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Lee 28 - 29.Dave Tirelli 28 - 29.Sal D'amato 28 - 29.,Loss
UFC 299: O'Malley vs. Vera 2,Philipe Lins,Ion Cutelaba,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Lee 28 - 29.Dave Tirelli 28 - 29.Sal D'amato 28 - 29.,Win
UFC 299: O'Malley vs. Vera 2,Michel Pereira,Michal Oleksiejczuk,Middleweight Bout,Submission,1,1:01,3 Rnd (5-5-5),Rear Naked Choke,Win
UFC 299: O'Malley vs. Vera 2,Michal Oleksiejczuk,Michel Pereira,Middleweight Bout,Submission,1,1:01,3 Rnd (5-5-5),Rear Naked Choke,Loss
UFC 299: O'Malley vs. Vera 2,Robelis Despaigne,Josh Parisian,Heavyweight Bout,KO/TKO,1,0:18,3 Rnd (5-5-5),Punch to Head At Distance,Win
UFC 299: O'Malley vs. Vera 2,Josh Parisian,Robelis Despaigne,Heavyweight Bout,KO/TKO,1,0:18,3 Rnd (5-5-5),Punch to Head At Distance,Loss
UFC 299: O'Malley vs. Vera 2,CJ Vergara,Asu Almabayev,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dave Tirelli 27 - 30.MichaelTate 27 - 30.Sal D'amato 27 - 30.,Loss
UFC 299: O'Malley vs. Vera 2,Asu Almabayev,CJ Vergara,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dave Tirelli 27 - 30.MichaelTate 27 - 30.Sal D'amato 27 - 30.,Win
UFC 299: O'Malley vs. Vera 2,Joanne Wood,Maryna Moroz,Women's Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Eliseo Rodriguez 28 - 29.Jason Grenier 29 - 28.Chris Lee 28 - 29.,Win
UFC 299: O'Malley vs. Vera 2,Maryna Moroz,Joanne Wood,Women's Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Eliseo Rodriguez 28 - 29.Jason Grenier 29 - 28.Chris Lee 28 - 29.,Loss
UFC Fight Night: Rozenstruik vs. Gaziev,Jairzinho Rozenstruik,Shamil Gaziev,Heavyweight Bout,KO/TKO,4,5:00,5 Rnd (5-5-5-5-5),toEye injury to Gaziev,Win
UFC Fight Night: Rozenstruik vs. Gaziev,Shamil Gaziev,Jairzinho Rozenstruik,Heavyweight Bout,KO/TKO,4,5:00,5 Rnd (5-5-5-5-5),toEye injury to Gaziev,Loss
UFC Fight Night: Rozenstruik vs. Gaziev,Vitor Petrino,Tyson Pedro,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Bell 27 - 30.Adalaide Byrd 27 - 30.Junichiro Kamijo 28 - 29.,Win
UFC Fight Night: Rozenstruik vs. Gaziev,Tyson Pedro,Vitor Petrino,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Bell 27 - 30.Adalaide Byrd 27 - 30.Junichiro Kamijo 28 - 29.,Loss
UFC Fight Night: Rozenstruik vs. Gaziev,Alex Perez,Muhammad Mokaev,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Sal D'amato 28 - 29.Chris Lee 28 - 29.Rick Winter 28 - 29.,Loss
UFC Fight Night: Rozenstruik vs. Gaziev,Muhammad Mokaev,Alex Perez,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Sal D'amato 28 - 29.Chris Lee 28 - 29.Rick Winter 28 - 29.,Win
UFC Fight Night: Rozenstruik vs. Gaziev,Umar Nurmagomedov,Bekzat Almakhan,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Bell 25 - 30.Bryan Miner 26 - 30.Jacob Montalvo 26 - 30.,Win
UFC Fight Night: Rozenstruik vs. Gaziev,Bekzat Almakhan,Umar Nurmagomedov,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Bell 25 - 30.Bryan Miner 26 - 30.Jacob Montalvo 26 - 30.,Loss
UFC Fight Night: Rozenstruik vs. Gaziev,Matt Schnell,Steve Erceg,Flyweight Bout,KO/TKO,2,0:26,3 Rnd (5-5-5),Punch to Head At Distance,Loss
UFC Fight Night: Rozenstruik vs. Gaziev,Steve Erceg,Matt Schnell,Flyweight Bout,KO/TKO,2,0:26,3 Rnd (5-5-5),Punch to Head At Distance,Win
UFC Fight Night: Rozenstruik vs. Gaziev,Eryk Anders,Jamie Pickett,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Derek Cleary 27 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,Win
UFC Fight Night: Rozenstruik vs. Gaziev,Jamie Pickett,Eryk Anders,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Derek Cleary 27 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,Loss
UFC Fight Night: Rozenstruik vs. Gaziev,Vinicius Oliveira,Benardo Sopaj,Bantamweight Bout,KO/TKO,3,4:41,3 Rnd (5-5-5),Flying Knee Head,Win
UFC Fight Night: Rozenstruik vs. Gaziev,Benardo Sopaj,Vinicius Oliveira,Bantamweight Bout,KO/TKO,3,4:41,3 Rnd (5-5-5),Flying Knee Head,Loss
UFC Fight Night: Rozenstruik vs. Gaziev,Aiemann Zahabi,Javid Basharat,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Derek Cleary 28 - 29.Sal D'amato 28 - 29.Bryan Miner 28 - 29.,Win
UFC Fight Night: Rozenstruik vs. Gaziev,Javid Basharat,Aiemann Zahabi,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Derek Cleary 28 - 29.Sal D'amato 28 - 29.Bryan Miner 28 - 29.,Loss
UFC Fight Night: Rozenstruik vs. Gaziev,Christian Leroy Duncan,Claudio Ribeiro,Middleweight Bout,KO/TKO,2,1:57,3 Rnd (5-5-5),Punches to Head From Back Control,Win
UFC Fight Night: Rozenstruik vs. Gaziev,Claudio Ribeiro,Christian Leroy Duncan,Middleweight Bout,KO/TKO,2,1:57,3 Rnd (5-5-5),Punches to Head From Back Control,Loss
UFC Fight Night: Rozenstruik vs. Gaziev,Ludovit Klein,AJ Cunningham,Lightweight Bout,KO/TKO,1,4:36,3 Rnd (5-5-5),Kick to Body At DistanceFront Kick,Win
UFC Fight Night: Rozenstruik vs. Gaziev,AJ Cunningham,Ludovit Klein,Lightweight Bout,KO/TKO,1,4:36,3 Rnd (5-5-5),Kick to Body At DistanceFront Kick,Loss
UFC Fight Night: Rozenstruik vs. Gaziev,Abdul-Kareem Al-Selwady,Loik Radzhabov,Lightweight Bout,KO/TKO,3,0:49,3 Rnd (5-5-5),Punch to Head At Distance,Loss
UFC Fight Night: Rozenstruik vs. Gaziev,Loik Radzhabov,Abdul-Kareem Al-Selwady,Lightweight Bout,KO/TKO,3,0:49,3 Rnd (5-5-5),Punch to Head At Distance,Win
UFC Fight Night: Moreno vs. Royval 2,Brandon Moreno,Brandon Royval,Flyweight Bout,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Mike Bell 47 - 48.Junichiro Kamijo 49 - 46.Chris Lee 47 - 48.,Loss
UFC Fight Night: Moreno vs. Royval 2,Brandon Royval,Brandon Moreno,Flyweight Bout,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Mike Bell 47 - 48.Junichiro Kamijo 49 - 46.Chris Lee 47 - 48.,Win
UFC Fight Night: Moreno vs. Royval 2,Yair Rodriguez,Brian Ortega,Featherweight Bout,Submission,3,0:58,5 Rnd (5-5-5-5-5),Arm Triangle From Side Control,Loss
UFC Fight Night: Moreno vs. Royval 2,Brian Ortega,Yair Rodriguez,Featherweight Bout,Submission,3,0:58,5 Rnd (5-5-5-5-5),Arm Triangle From Side Control,Win
UFC Fight Night: Moreno vs. Royval 2,Daniel Zellhuber,Francisco Prado,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Miguel Jimenez 28 - 29.Junichiro Kamijo 28 - 29.Rick Winter 26 - 30.,Win
UFC Fight Night: Moreno vs. Royval 2,Francisco Prado,Daniel Zellhuber,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Miguel Jimenez 28 - 29.Junichiro Kamijo 28 - 29.Rick Winter 26 - 30.,Loss
UFC Fight Night: Moreno vs. Royval 2,Yazmin Jauregui,Sam Hughes,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Horacio Lopez 27 - 30.Mike Bell 27 - 30.Rick Winter 27 - 30.,Win
UFC Fight Night: Moreno vs. Royval 2,Sam Hughes,Yazmin Jauregui,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Horacio Lopez 27 - 30.Mike Bell 27 - 30.Rick Winter 27 - 30.,Loss
UFC Fight Night: Moreno vs. Royval 2,Manuel Torres,Chris Duncan,Lightweight Bout,Submission,1,1:46,3 Rnd (5-5-5),Rear Naked Choke,Win
UFC Fight Night: Moreno vs. Royval 2,Chris Duncan,Manuel Torres,Lightweight Bout,Submission,1,1:46,3 Rnd (5-5-5),Rear Naked Choke,Loss
UFC Fight Night: Moreno vs. Royval 2,Cristian Quinonez,Raoni Barcelos,Bantamweight Bout,Submission,3,2:04,3 Rnd (5-5-5),Rear Naked Choke,Loss
UFC Fight Night: Moreno vs. Royval 2,Raoni Barcelos,Cristian Quinonez,Bantamweight Bout,Submission,3,2:04,3 Rnd (5-5-5),Rear Naked Choke,Win
UFC Fight Night: Moreno vs. Royval 2,Jesus Aguilar,Mateus Mendonca,Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Eric Colon 29 - 28.Mike Bell 28 - 29.Horacio Lopez 28 - 29.,Win
UFC Fight Night: Moreno vs. Royval 2,Mateus Mendonca,Jesus Aguilar,Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Eric Colon 29 - 28.Mike Bell 28 - 29.Horacio Lopez 28 - 29.,Loss
UFC Fight Night: Moreno vs. Royval 2,Edgar Chairez,Daniel Lacerda,Flyweight Bout,Submission,1,2:17,3 Rnd (5-5-5),Triangle Choke From Bottom Guard,Win
UFC Fight Night: Moreno vs. Royval 2,Daniel Lacerda,Edgar Chairez,Flyweight Bout,Submission,1,2:17,3 Rnd (5-5-5),Triangle Choke From Bottom Guard,Loss
UFC Fight Night: Moreno vs. Royval 2,Claudio Puelles,Fares Ziam,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mike Bell 27 - 30.Raul Salas 29 - 28.Chris Lee 28 - 29.,Loss
UFC Fight Night: Moreno vs. Royval 2,Fares Ziam,Claudio Puelles,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mike Bell 27 - 30.Raul Salas 29 - 28.Chris Lee 28 - 29.,Win
UFC Fight Night: Moreno vs. Royval 2,Ronaldo Rodriguez,Denys Bondar,Flyweight Bout,Submission,2,4:59,3 Rnd (5-5-5),Rear Naked Choke,Win
UFC Fight Night: Moreno vs. Royval 2,Denys Bondar,Ronaldo Rodriguez,Flyweight Bout,Submission,2,4:59,3 Rnd (5-5-5),Rear Naked Choke,Loss
UFC Fight Night: Moreno vs. Royval 2,Victor Altamirano,Felipe dos Santos,Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Miguel Jimenez 30 - 27.Mike Bell 28 - 29.Junichiro Kamijo 28 - 29.,Loss
